2022-08-24 13:23:07.757548 Epoch 1, Train loss 0.6401, , Val loss 0.5875, Perfect loss 0.0013
2022-08-24 13:26:09.735284 Epoch 2, Train loss 0.5127, , Val loss 0.533, Perfect loss 0.0013
2022-08-24 13:29:35.486439 Epoch 3, Train loss 0.4461, , Val loss 0.468, Perfect loss 0.0013
2022-08-24 13:33:11.656560 Epoch 4, Train loss 0.3956, , Val loss 0.4245, Perfect loss 0.0013
2022-08-24 13:36:48.185495 Epoch 5, Train loss 0.3575, , Val loss 0.3801, Perfect loss 0.0013
2022-08-24 13:40:21.699492 Epoch 6, Train loss 0.3339, , Val loss 0.4044, Perfect loss 0.0013
2022-08-24 13:43:55.409283 Epoch 7, Train loss 0.3153, , Val loss 0.3633, Perfect loss 0.0013
2022-08-24 13:47:29.309635 Epoch 8, Train loss 0.3034, , Val loss 0.3488, Perfect loss 0.0013
2022-08-24 13:50:39.085914 Epoch 9, Train loss 0.288, , Val loss 0.3269, Perfect loss 0.0013
2022-08-24 13:52:42.354518 Epoch 10, Train loss 0.2894, , Val loss 0.3407, Perfect loss 0.0013
2022-08-24 13:55:34.614988 Epoch 11, Train loss 0.2739, , Val loss 0.3009, Perfect loss 0.0013
2022-08-24 13:59:06.881849 Epoch 12, Train loss 0.267, , Val loss 0.3315, Perfect loss 0.0013
2022-08-24 14:02:36.939482 Epoch 13, Train loss 0.2649, , Val loss 0.2925, Perfect loss 0.0013
2022-08-24 14:06:06.704632 Epoch 14, Train loss 0.2604, , Val loss 0.2694, Perfect loss 0.0013
2022-08-24 14:09:39.171599 Epoch 15, Train loss 0.2426, , Val loss 0.2964, Perfect loss 0.0013
2022-08-24 14:13:10.025860 Epoch 16, Train loss 0.253, , Val loss 0.3053, Perfect loss 0.0013
2022-08-24 14:16:40.877767 Epoch 17, Train loss 0.2528, , Val loss 0.2789, Perfect loss 0.0013
2022-08-24 14:20:31.202566 Epoch 18, Train loss 0.238, , Val loss 0.2626, Perfect loss 0.0013
2022-08-24 14:24:14.596327 Epoch 19, Train loss 0.2336, , Val loss 0.2747, Perfect loss 0.0013
2022-08-24 14:27:52.774698 Epoch 20, Train loss 0.2346, , Val loss 0.3001, Perfect loss 0.0013
2022-08-24 16:08:34.774303 Epoch 1, Train loss 0.5299, , Val loss 8.2841, Perfect loss 0.0013
2022-08-24 16:16:16.781838 Epoch 2, Train loss 0.3339, , Val loss 0.3243, Perfect loss 0.0013
2022-08-24 16:23:56.430752 Epoch 3, Train loss 0.2175, , Val loss 0.2014, Perfect loss 0.0013
2022-08-24 16:31:33.508937 Epoch 4, Train loss 0.1772, , Val loss 0.1574, Perfect loss 0.0013
