2022-08-18 14:15:01.565179 Epoch 1, Train loss 0.3496, , Val loss 0.0961, Perfect loss 0.0012
2022-08-18 14:18:06.794410 Epoch 2, Train loss 0.0684, , Val loss 0.0113, Perfect loss 0.0012
2022-08-18 14:21:10.849905 Epoch 3, Train loss 0.0311, , Val loss 0.0027, Perfect loss 0.0012
2022-08-18 14:24:15.445944 Epoch 4, Train loss 0.0136, , Val loss 0.001, Perfect loss 0.0012
2022-08-18 14:27:24.890523 Epoch 5, Train loss 0.0112, , Val loss 0.0004, Perfect loss 0.0012
2022-08-18 14:30:29.106192 Epoch 6, Train loss 0.0019, , Val loss 0.0003, Perfect loss 0.0012
2022-08-18 14:33:27.848825 Epoch 7, Train loss 0.0016, , Val loss 0.0001, Perfect loss 0.0012
2022-08-18 14:36:40.214403 Epoch 8, Train loss 0.0014, , Val loss 0.0001, Perfect loss 0.0012
2022-08-18 14:39:39.223438 Epoch 9, Train loss 0.0048, , Val loss 0.0001, Perfect loss 0.0012
2022-08-18 14:42:49.073003 Epoch 10, Train loss 0.0018, , Val loss 0.0001, Perfect loss 0.0012
2022-08-18 14:45:55.010650 Epoch 11, Train loss 0.0048, , Val loss 0.0, Perfect loss 0.0012
2022-08-18 14:49:05.392014 Epoch 12, Train loss 0.0464, , Val loss 0.1067, Perfect loss 0.0012
2022-08-18 14:51:38.980821 Epoch 13, Train loss 0.0708, , Val loss 0.0121, Perfect loss 0.0012
2022-08-18 14:53:19.978686 Epoch 14, Train loss 0.0028, , Val loss 0.0003, Perfect loss 0.0012
2022-08-18 14:55:06.118012 Epoch 15, Train loss 0.011, , Val loss 0.0011, Perfect loss 0.0012
2022-08-18 14:57:06.121782 Epoch 16, Train loss 0.0021, , Val loss 0.0002, Perfect loss 0.0012
2022-08-18 15:00:08.100881 Epoch 17, Train loss 0.0016, , Val loss 0.0001, Perfect loss 0.0012
2022-08-18 15:03:13.512955 Epoch 18, Train loss 0.0035, , Val loss 0.0001, Perfect loss 0.0012
2022-08-18 15:05:00.102107 Epoch 19, Train loss 0.0033, , Val loss 0.0004, Perfect loss 0.0012
2022-08-18 15:07:10.022666 Epoch 20, Train loss 0.0665, , Val loss 0.0091, Perfect loss 0.0012
2022-08-18 15:10:35.100573 Epoch 21, Train loss 0.5679, , Val loss 0.2832, Perfect loss 0.0012
2022-08-18 15:14:11.857201 Epoch 22, Train loss 0.2835, , Val loss 0.2307, Perfect loss 0.0012
2022-08-18 15:16:57.251006 Epoch 23, Train loss 0.1246, , Val loss 0.0359, Perfect loss 0.0012
2022-08-18 15:20:37.917668 Epoch 24, Train loss 0.0611, , Val loss 0.0557, Perfect loss 0.0012
2022-08-18 15:24:18.730789 Epoch 25, Train loss 0.0235, , Val loss 0.0048, Perfect loss 0.0012
2022-08-18 15:27:59.296943 Epoch 26, Train loss 0.0102, , Val loss 0.0004, Perfect loss 0.0012
2022-08-18 15:31:40.315940 Epoch 27, Train loss 0.0058, , Val loss 0.0001, Perfect loss 0.0012
2022-08-18 15:34:19.779453 Epoch 28, Train loss 0.0062, , Val loss 0.0005, Perfect loss 0.0012
2022-08-18 15:36:58.890212 Epoch 29, Train loss 0.0192, , Val loss 0.0001, Perfect loss 0.0012
2022-08-18 15:39:51.710110 Epoch 30, Train loss 0.0693, , Val loss 0.0051, Perfect loss 0.0012
2022-08-18 15:42:27.813757 Epoch 31, Train loss 0.0346, , Val loss 0.0003, Perfect loss 0.0012
