2022-08-16 06:58:34.459512 Epoch 33, Train loss 0.2427, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2413, Perfect loss 0.1126
2022-08-16 07:06:35.502094 Epoch 34, Train loss 0.2417, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.241, Perfect loss 0.1126
2022-08-16 07:14:35.435404 Epoch 35, Train loss 0.2424, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2442, Perfect loss 0.1126
2022-08-16 07:22:34.881154 Epoch 36, Train loss 0.2417, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2401, Perfect loss 0.1126
2022-08-16 07:30:37.414796 Epoch 37, Train loss 0.2415, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2403, Perfect loss 0.1126
2022-08-16 07:38:39.567889 Epoch 38, Train loss 0.2452, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.3224, Perfect loss 0.1126
2022-08-16 07:46:39.864263 Epoch 39, Train loss 0.2534, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2424, Perfect loss 0.1126
2022-08-16 07:55:16.087742 Epoch 40, Train loss 0.2411, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2399, Perfect loss 0.1126
2022-08-16 08:03:20.802427 Epoch 41, Train loss 0.2443, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2409, Perfect loss 0.1126
2022-08-16 08:11:30.287563 Epoch 42, Train loss 0.2421, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2414, Perfect loss 0.1126
2022-08-16 08:19:39.830686 Epoch 43, Train loss 0.2416, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2395, Perfect loss 0.1126
2022-08-16 08:27:47.993615 Epoch 44, Train loss 0.2418, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2401, Perfect loss 0.1126
2022-08-16 08:35:57.086882 Epoch 45, Train loss 0.2436, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2412, Perfect loss 0.1126
2022-08-16 08:44:03.226885 Epoch 46, Train loss 0.243, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2402, Perfect loss 0.1126
2022-08-16 08:52:12.617284 Epoch 47, Train loss 0.2418, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2401, Perfect loss 0.1126
2022-08-16 09:00:22.159057 Epoch 48, Train loss 0.2413, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.2401, Perfect loss 0.1126
