2022-08-22 18:41:22.346805 Epoch 1, Train loss 0.6902, , Val loss 0.5128, Perfect loss 0.002
2022-08-22 18:43:03.921830 Epoch 2, Train loss 0.4494, , Val loss 0.1641, Perfect loss 0.002
2022-08-22 18:44:42.095767 Epoch 3, Train loss 0.2826, , Val loss 0.0598, Perfect loss 0.002
2022-08-22 18:46:20.574022 Epoch 4, Train loss 0.0908, , Val loss 0.0333, Perfect loss 0.002
2022-08-22 18:47:57.317631 Epoch 5, Train loss 0.0443, , Val loss 0.0196, Perfect loss 0.002
2022-08-22 18:49:29.970774 Epoch 6, Train loss 0.0354, , Val loss 0.0139, Perfect loss 0.002
2022-08-22 18:51:03.063472 Epoch 7, Train loss 0.0233, , Val loss 0.0259, Perfect loss 0.002
2022-08-22 18:52:35.946948 Epoch 8, Train loss 0.0141, , Val loss 0.0068, Perfect loss 0.002
2022-08-22 18:54:09.157334 Epoch 9, Train loss 0.0324, , Val loss 0.0072, Perfect loss 0.002
2022-08-22 18:55:42.093846 Epoch 10, Train loss 0.0262, , Val loss 0.005, Perfect loss 0.002
2022-08-22 18:57:16.110421 Epoch 11, Train loss 0.0176, , Val loss 0.0041, Perfect loss 0.002
2022-08-22 18:58:52.769908 Epoch 12, Train loss 0.0435, , Val loss 0.0038, Perfect loss 0.002
2022-08-22 19:00:26.883199 Epoch 13, Train loss 0.0076, , Val loss 0.0186, Perfect loss 0.002
2022-08-22 19:02:01.079618 Epoch 14, Train loss 0.0143, , Val loss 0.0028, Perfect loss 0.002
2022-08-22 19:03:35.465038 Epoch 15, Train loss 0.0986, , Val loss 0.0026, Perfect loss 0.002
2022-08-22 19:05:10.472723 Epoch 16, Train loss 0.0125, , Val loss 0.002, Perfect loss 0.002
2022-08-22 19:06:43.737583 Epoch 17, Train loss 0.0117, , Val loss 0.0178, Perfect loss 0.002
2022-08-22 19:08:17.166520 Epoch 18, Train loss 0.011, , Val loss 0.0282, Perfect loss 0.002
2022-08-22 19:09:50.968772 Epoch 19, Train loss 0.0328, , Val loss 0.0506, Perfect loss 0.002
2022-08-22 19:11:25.200904 Epoch 20, Train loss 0.0165, , Val loss 0.0016, Perfect loss 0.002
2022-08-22 19:13:12.043605 Epoch 21, Train loss 0.0069, , Val loss 0.0012, Perfect loss 0.002
2022-08-22 19:16:19.934139 Epoch 22, Train loss 0.0085, , Val loss 0.0011, Perfect loss 0.002
2022-08-22 19:19:23.806268 Epoch 23, Train loss 0.0198, , Val loss 0.0042, Perfect loss 0.002
2022-08-22 19:22:16.680477 Epoch 24, Train loss 0.0156, , Val loss 0.0011, Perfect loss 0.002
2022-08-22 19:24:37.674090 Epoch 25, Train loss 0.01, , Val loss 0.017, Perfect loss 0.002
2022-08-22 19:26:20.178606 Epoch 26, Train loss 0.0032, , Val loss 0.0008, Perfect loss 0.002
2022-08-22 19:28:32.123846 Epoch 27, Train loss 0.0099, , Val loss 0.0009, Perfect loss 0.002
2022-08-22 19:30:53.315340 Epoch 28, Train loss 0.0063, , Val loss 0.0007, Perfect loss 0.002
2022-08-22 19:32:38.669990 Epoch 29, Train loss 0.0065, , Val loss 0.0007, Perfect loss 0.002
2022-08-22 19:35:26.318196 Epoch 30, Train loss 0.0509, , Val loss 0.0176, Perfect loss 0.002
2022-08-22 19:37:46.763107 Epoch 31, Train loss 0.0161, , Val loss 0.0006, Perfect loss 0.002
2022-08-22 21:02:54.186749 Epoch 1, Train loss 0.4952, , Val loss 0.2999, Perfect loss 0.002
2022-08-22 21:05:57.976941 Epoch 2, Train loss 0.2538, , Val loss 0.1649, Perfect loss 0.002
2022-08-22 21:09:02.088517 Epoch 3, Train loss 0.1348, , Val loss 0.0681, Perfect loss 0.002
